,end_station_name,count,end_station_id,end_lat,end_lng
41,11 St & Washington St,86,HB502,40.74998490907138,-74.02715027332306
42,111 St & 37 Ave,547,6567.03,40.75397,-73.85748
43,111 St & 49 Ave,520,6287.02,40.74612,-73.85272
44,111 St & 53 Ave,272,6171.02,40.74336,-73.85129
45,111 St & Roosevelt Ave,548,6448.07,40.75147,-73.8557
46,112 St & Northern Blvd,462,6683.01,40.75788,-73.85763
47,114 St & 39 Ave,489,6524.01,40.7532,-73.853
48,12 Ave & 36 St,4147,3056.05,40.643546,-73.986418
49,12 Ave & W 125 St,22090,7886.02,40.818299,-73.960405
50,12 Ave & W 40 St,89488,6765.01,40.76087502,-74.00277668
51,12 St & 4 Ave,10811,3882.01,40.668603,-73.9904394
52,12 St & Sinatra Dr N,188,HB201,40.75060414236896,-74.02402013540268
